company,role,location,yearsOfExperience,offerDate,totalCompensation,currency,level,baseSalary,baseSalaryCurrency,avgAnnualStockGrantValue,stockGrantCurrency,avgAnnualBonusValue,bonusCurrency,userCurrency,exchangeRate,ipAddress
Microsoft,Software Engineer,Chennai,8.2,2023-02-22,4254519,INR,IC2,2444175,INR,910270,USD,900074,INR,INR,1.0,192.168.190.229
Infosys,Software Engineer,Pune,8.9,2024-02-07,1027275,INR,IC2,876449,INR,0,INR,150826,INR,INR,1.0,192.168.60.130
Wipro,Software Engineer,Pune,4.9,2022-12-18,576837,INR,IC2,531614,INR,0,INR,45223,INR,INR,1.0,192.168.108.57
TCS,Data Scientist,Seattle,13.1,2021-03-23,54150,USD,IC3,50136,USD,0,USD,4014,USD,USD,83.0,192.168.109.88
UnicornX,Senior Software Engineer,SF Bay Area,3.9,2023-06-28,106858,USD,IC3,81236,USD,9403,USD,16219,USD,USD,83.0,192.168.89.155
UnicornX,Software Engineer,Chennai,3.9,2024-07-03,1467689,INR,IC2,1179468,INR,216208,INR,72013,INR,INR,1.0,192.168.142.76
Wipro,Tech Lead,Pune,7.1,2022-01-22,1191913,INR,IC4,1097105,INR,0,INR,94808,INR,INR,1.0,192.168.59.198
UnicornX,Software Engineer,Remote,0.0,2022-06-06,783321,INR,IC1,617267,INR,74683,INR,91371,INR,INR,1.0,192.168.95.91
Meta,Engineering Manager,Seattle,1.4,2026-10-21,254709,USD,M1,163947,USD,67448,USD,23314,USD,USD,83.0,192.168.44.137
Meta,Senior Software Engineer,Hyderabad,1.9,2024-12-18,3308474,INR,IC3,1908972,INR,967858,USD,431644,INR,INR,1.0,192.168.57.176
StartupA,Software Engineer,SF Bay Area,12.6,2021-02-07,113282,USD,IC2,94081,USD,10209,USD,8992,USD,USD,83.0,192.168.234.242
Wipro,Engineering Manager,Seattle,6.3,2022-07-21,57120,USD,M1,52296,USD,0,USD,4824,USD,USD,83.0,192.168.118.37
UnicornX,Senior Software Engineer,SF Bay Area,3.6,2026-10-14,111371,USD,IC3,89780,USD,8495,USD,13096,USD,USD,83.0,192.168.230.150
StartupB,Tech Lead,SF Bay Area,0.8,2022-01-28,86490,USD,IC4,69274,USD,5111,USD,12105,USD,USD,83.0,192.168.29.40
Amazon,Engineering Manager,Hyderabad,3.3,2025-08-17,8608543,INR,M1,4789387,INR,2050227,USD,1768929,INR,INR,1.0,192.168.65.249
Infosys,Software Engineer,Chennai,3.3,2026-09-25,708155,INR,IC2,610044,INR,0,INR,98111,INR,INR,1.0,192.168.69.197
StartupA,Software Engineer,Seattle,5.9,2024-12-24,65884,USD,IC2,50455,USD,3316,USD,12113,USD,USD,83.0,192.168.68.249
Infosys,Senior Software Engineer,Pune,9.7,2021-05-27,1083261,INR,IC3,1015072,INR,0,INR,68189,INR,INR,1.0,192.168.164.130
Wipro,Senior Software Engineer,SF Bay Area,6.9,2023-09-25,35506,USD,IC3,32887,USD,0,USD,2619,USD,USD,83.0,192.168.237.136
Google,Data Scientist,Seattle,0.0,2024-05-08,87117,USD,IC2,48084,USD,25517,USD,13516,USD,USD,83.0,192.168.15.62
Wipro,Software Engineer,Bengaluru,9.3,2026-02-25,1247640,INR,IC2,1121128,INR,0,INR,126512,INR,INR,1.0,192.168.137.197
Amazon,Senior Software Engineer,Chennai,5.5,2024-09-28,5466864,INR,IC3,3524404,INR,1183645,USD,758815,INR,INR,1.0,192.168.156.109
Meta,Data Scientist,Remote,0.0,2026-11-21,2398249,INR,IC2,1490020,INR,575338,USD,332891,INR,INR,1.0,192.168.96.113
Infosys,Product Manager,Bengaluru,3.9,2022-06-01,1547622,INR,IC3,1350253,INR,0,INR,197369,INR,INR,1.0,192.168.151.142
Meta,Data Scientist,SF Bay Area,7.5,2021-04-03,172803,USD,IC3,96268,USD,45466,USD,31069,USD,USD,83.0,192.168.232.9
StartupA,Software Engineer,Pune,7.5,2022-09-05,2045522,INR,IC2,1591105,INR,201569,INR,252848,INR,INR,1.0,192.168.186.240
Wipro,Data Scientist,Hyderabad,3.0,2022-07-07,788950,INR,IC2,732510,INR,0,INR,56440,INR,INR,1.0,192.168.25.25
StartupB,Tech Lead,Hyderabad,10.6,2024-11-21,7616891,INR,IC4,6068396,INR,936174,INR,612321,INR,INR,1.0,192.168.252.166
Microsoft,Software Engineer,Hyderabad,2.2,2026-04-07,2732213,INR,IC1,1595422,INR,781870,USD,354921,INR,INR,1.0,192.168.49.138
TCS,Senior Software Engineer,Hyderabad,7.5,2022-04-28,1360586,INR,IC3,1194397,INR,0,INR,166189,INR,INR,1.0,192.168.237.20
TCS,Data Scientist,Bengaluru,3.8,2021-09-27,886988,INR,IC2,811784,INR,0,INR,75204,INR,INR,1.0,192.168.4.249
Microsoft,Senior Software Engineer,SF Bay Area,1.0,2024-07-02,110644,USD,IC3,66228,USD,24494,USD,19922,USD,USD,83.0,192.168.43.98
Google,Product Manager,Seattle,9.7,2024-12-26,461333,USD,IC4,266893,USD,124403,USD,70037,USD,USD,83.0,192.168.143.170
TCS,Senior Software Engineer,SF Bay Area,5.7,2023-01-19,47523,USD,IC3,41429,USD,0,USD,6094,USD,USD,83.0,192.168.189.139
Google,Engineering Manager,Seattle,7.6,2021-09-06,378709,USD,M1,210189,USD,93798,USD,74722,USD,USD,83.0,192.168.15.246
Infosys,Software Engineer,Remote,7.6,2022-04-13,10939,USD,IC2,9372,USD,0,USD,1567,USD,USD,83.0,192.168.31.242
Wipro,Senior Software Engineer,Pune,5.8,2025-02-14,1386540,INR,IC3,1184069,INR,0,INR,202471,INR,INR,1.0,192.168.169.150
Wipro,Data Scientist,Seattle,0.0,2023-12-11,20868,USD,IC2,18164,USD,0,USD,2704,USD,USD,83.0,192.168.62.68
StartupB,Senior Software Engineer,Chennai,6.4,2026-02-01,3387529,INR,IC3,2642272,INR,276482,INR,468775,INR,INR,1.0,192.168.118.160
Wipro,Software Engineer,Bengaluru,6.4,2025-05-05,734687,INR,IC2,640144,INR,0,INR,94543,INR,INR,1.0,192.168.239.90
Microsoft,Senior Software Engineer,Seattle,5.0,2023-12-10,210217,USD,IC3,118935,USD,59570,USD,31712,USD,USD,83.0,192.168.157.252
Infosys,Software Engineer,Chennai,12.7,2025-11-04,997640,INR,IC2,877861,INR,0,INR,119779,INR,INR,1.0,192.168.241.225
Amazon,Tech Lead,Bengaluru,2.4,2021-05-20,5805641,INR,IC4,3624123,INR,1251376,USD,930142,INR,INR,1.0,192.168.54.184
StartupA,Senior Software Engineer,Chennai,10.1,2026-05-28,4898305,INR,IC3,4091511,INR,492480,INR,314314,INR,INR,1.0,192.168.14.24
StartupB,Tech Lead,Bengaluru,3.6,2021-05-06,4058169,INR,IC4,3178990,INR,255997,INR,623182,INR,INR,1.0,192.168.190.114
Infosys,Engineering Manager,Hyderabad,6.4,2025-02-23,2512874,INR,M1,2138373,INR,0,INR,374501,INR,INR,1.0,192.168.232.39
Infosys,Software Engineer,Remote,2.8,2023-03-02,517807,INR,IC1,447804,INR,0,INR,70003,INR,INR,1.0,192.168.79.94
Google,Tech Lead,SF Bay Area,4.2,2026-09-28,255534,USD,IC4,146920,USD,53734,USD,54880,USD,USD,83.0,192.168.105.250
Wipro,Engineering Manager,SF Bay Area,7.3,2022-03-14,82278,USD,M1,77050,USD,0,USD,5228,USD,USD,83.0,192.168.7.46
StartupA,Product Manager,Remote,6.0,2026-12-04,4567693,INR,IC4,3796095,INR,350253,INR,421345,INR,INR,1.0,192.168.98.224
Google,Product Manager,SF Bay Area,0.0,2022-05-27,113514,USD,IC3,71702,USD,27928,USD,13884,USD,USD,83.0,192.168.204.224
Meta,Senior Software Engineer,Bengaluru,4.5,2026-02-25,6669503,INR,IC3,3797035,INR,1552835,USD,1319633,INR,INR,1.0,192.168.72.90
Infosys,Product Manager,Chennai,5.3,2025-01-04,1392809,INR,IC3,1230011,INR,0,INR,162798,INR,INR,1.0,192.168.225.249
UnicornX,Senior Software Engineer,Pune,14.5,2023-06-24,5820963,INR,IC3,4387992,INR,638310,INR,794661,INR,INR,1.0,192.168.202.81
StartupB,Data Scientist,Pune,7.2,2021-05-02,2762776,INR,IC3,2178503,INR,297437,INR,286836,INR,INR,1.0,192.168.182.112
Google,Data Scientist,Remote,0.0,2025-04-12,2511982,INR,IC2,1617783,INR,687539,USD,206660,INR,INR,1.0,192.168.111.18
StartupA,Data Scientist,Seattle,6.3,2026-05-17,154529,USD,IC3,129001,USD,18849,USD,6679,USD,USD,83.0,192.168.80.171
StartupB,Tech Lead,Hyderabad,5.1,2026-07-22,4895459,INR,IC4,3816331,INR,307086,INR,772042,INR,INR,1.0,192.168.241.98
Amazon,Data Scientist,Pune,5.8,2023-05-10,4440129,INR,IC3,2622374,INR,1258211,USD,559544,INR,INR,1.0,192.168.54.111
Wipro,Data Scientist,Chennai,11.1,2023-08-22,1367511,INR,IC3,1225972,INR,0,INR,141539,INR,INR,1.0,192.168.55.131
TCS,Engineering Manager,SF Bay Area,9.6,2026-09-22,98219,USD,M1,84319,USD,0,USD,13900,USD,USD,83.0,192.168.163.159
StartupA,Software Engineer,Remote,12.3,2022-01-02,2632327,INR,IC2,2033378,INR,184034,INR,414915,INR,INR,1.0,192.168.63.252
TCS,Data Scientist,Remote,8.6,2021-10-07,1379037,INR,IC3,1294383,INR,0,INR,84654,INR,INR,1.0,192.168.184.179
StartupB,Product Manager,Hyderabad,1.5,2022-02-25,2094303,INR,IC3,1601633,INR,248724,INR,243946,INR,INR,1.0,192.168.109.57
Amazon,Engineering Manager,Pune,6.4,2024-02-15,10749449,INR,M1,5966179,INR,2417764,USD,2365506,INR,INR,1.0,192.168.35.206
TCS,Engineering Manager,Pune,0.0,2025-08-20,1126392,INR,M1,1024504,INR,0,INR,101888,INR,INR,1.0,192.168.209.185
Infosys,Product Manager,Remote,1.2,2025-08-15,1039922,INR,IC3,900485,INR,0,INR,139437,INR,INR,1.0,192.168.67.193
Meta,Engineering Manager,Seattle,1.9,2025-08-03,304037,USD,M1,181954,USD,68081,USD,54002,USD,USD,83.0,192.168.183.74
Meta,Tech Lead,Seattle,2.5,2023-03-08,194720,USD,IC4,124485,USD,40513,USD,29722,USD,USD,83.0,192.168.99.178
Amazon,Engineering Manager,SF Bay Area,9.7,2021-08-14,443337,USD,M1,262228,USD,103337,USD,77772,USD,USD,83.0,192.168.16.53
StartupB,Product Manager,Remote,7.0,2025-10-13,5719502,INR,IC4,4300798,INR,789667,INR,629037,INR,INR,1.0,192.168.123.2
